LG PONTE SARELA	A Ponte Sarela
RU ALGALIA ABAIXO	Rúa Algalia de Abaixo
RU ANXEL BALTAR	Rúa Anxel Baltar
RU ANXIL	Rúa Anxil
RU AQUILINO IGLESIA ALVARIÑO	Rúa Aquilino Iglesia Alvariño
RU ARAGON	Rúa Aragon
RU ARREDULLO	Rúa Arredullo
RU ARTURO CUADRADO MOURE	Rúa Arturo Cuadrado Moure
RU AS TORRES NO AR	Rúa As Torres No Ar
RU ASIS	Rúa Asis
RU ASUBIO	Rúa Asubio
RU AUTOS LOBELLE SANTIAGO	Rúa Autos Lobelle Santiago
RU BARROSA	Rúa Barrosa
RU BATALLA CLAVIJO	Rúa Batalla de Clavixo
RU BELVIS	Rúa Belvís
PZ BELVIS	Rúa Belvís
RU BENITO REGUEIRO VARELA	Rúa Benito Regueiro Varela
RU CAMIÑOS DA VIDA	Rúa Camiños da Vida
RU CAMPO HORTAS	Rúa Campo das Hortas
RU CAMPO SANTA ISABEL	Rúa Campo de Santa Isabel
RU CANTABRIA	Rúa Cantabria
RU CARBALLEIRA	Rúa Carballeira
RU CARBALLO	Rúa Carballo
RU CARLOS BRIONES VARELA	Rúa Carlos Briones Varela
RU CAROLINA OTERO	Rúa Carolina Otero
RU CASAL DO CASTIÑEIRIÑO (DO	Rúa Casal Do Castiñeiriño (Do
RU CASTELOS	Rúa Castelos
RU CASTIÑEIROS	Rúa Castiñeiros
RU CATALUÑA	Rúa Cataluña
RU CEUTA	Rúa Ceuta
RU CLEMENTE FERNANDEZ SARELA	Rúa Clemente Fernandez Sarela
RU S.D. COMPOSTELA	Rúa Compostela SD
RU CORREDOIRA DOS CORNOS	Rúa Corredoira Dos Cornos
RU COTO NAI	Rúa Coto Nai
RU CRUZ GALLASTEGUI	Rúa Cruz Gallastegui
RU CURRALIÑO	Rúa Curraliño
RU DA XERACION NOS	Rúa Da Xeracion Nos
RU DANIEL GARCIA RAMOS	Rúa Daniel Garcia Ramos
RU DELFIN GARCIA GUERRA	Rúa Delfin Garcia Guerra
RU GOZO	Rúa Do Gozo
RU DOMINGO A ANDRADE	Rúa Domingo A Andrade
RU DOMINGO FONTAN	Rúa Domingo Fontan
RU DOUTOR MACEIRA	Rúa Doutor Maceira
RU EIDOS	Rúa Eidos
RU ELENA QUIROGA ABARCA	Rúa Elena Quiroga Abarca
RU EMILIO ARES MARTINEZ	Rúa Emilio Ares Martinez
RU ENRIQUE VIDAL ABASCAL	Rúa Enrique Vidal Abascal
RU ESCALINATA ATURUXO	Rúa Escalinata Aturuxo
RU EVARISTO NOGUEIRA ROMERO	Rúa Evaristo Nogueira Romero
RU FEDERICA MONTSENY	Rúa Federica Montseny
RU FELICIANO BARRERA FDEZ	Rúa Feliciano Barrera Fernández
RU FLORES	Rúa Flores
RU FOLLAS NOVAS	Rúa Follas Novas
RU FONSECA	Rúa Fonseca
RU FONTELA	Rúa Fontela
RU FRANCISCA HERRERA GARRIDO	Rúa Francisca Herrera Garrido
RU FREI ROSENDO SALVADO	Rúa Frei Rosendo Salvado
RU FRONTEIRA INFINDA	Rúa Fronteira Infinda
RU GUIMARAES	Rúa Guimaraes
RU IGREXA VIDAN	Rúa Igrexa Vidan
RU ILDEFONSO SANCHEZ MERA	Rúa Ildefonso Sánchez Mera
RU IRMANDADES FALA	Rúa Irmandades Fala
RU IRMANS SANTOS VARELA	Rúa Irmans Santos Varela
RU J LUIS PUENTE DOMINGUEZ	Rúa J Luis Puente Dominguez
RU JOAM AIRAS SANTIAGO	Rúa Joam Airas de Santiago
RU JOSE LUIS PENSADO TOME	Rúa Jose Luis Pensado Tome
RU JOSE RIVAS FERNANDEZ	Rúa Jose Rivas Fernandez
RU JOSEFA GARCIA SEGRET	Rúa Josefa García Segret
RU JOSEFA IGLESIAS VILARELLE	Rúa Josefa Iglesias Vilarelle
RU JUAN HARGUINDEY BROUSSAIN	Rúa Juan Harguindey Broussain
RU LAMAS ABADE	Rúa Lamas de Abade
RU LOGROÑO	Rúa Logroño
RU LUAR CARME	Rúa Luar Carme
RU LUIS IGLESIAS IGLESIAS	Rúa Luis Iglesias Iglesias
RU M ANGELES GANDARA	Rúa M Angeles Gandara
RU MALLOU	Rúa Mallou de Arriba
RU MANUEL BEIRAS	Rúa Manuel Beiras
RU MANUEL MURGUIA	Rúa Manuel Murgia
RU MANUEL VAZQUEZ CACHARRON	Rúa Manuel Vázquez Cacharrón
RU MARCO COVAS	Rúa Marco de Covas
RU MARGARITA NELKEN	Rúa Margarita Nelken
RU MARIE CURIE	Rúa Marie Curie
RU MARROZOS	Rúa Marrozos
RU MARTIRES CARRAL	Rúa Martires Carral
RU MELILLA	Rúa Melilla
RU MERIDA	Rúa Merida
RU MONDOÑEDO	Rúa Mondoñedo
RU MONTE CHAOS	Rúa Monte Chaos
RU MORON	Rúa Moron
RU MURCIA	Rúa Murcia
RU NABAL	Rúa Nabal
RU NAVARRA	Rúa Navarra
RU NOVA	Rúa Nova
RU NOVA IGREXA	Rúa Nova da Igrexa
RU NOVA ABAIXO	Rúa Nova de Abaixo
RU OFELIA NIETO	Rúa Ofelia Nieto
RU OSLO	Rúa Oslo
RU PADRONES	Rúa Padrones
RU PALMA DE MALLORCA	Rúa Palma de Mallorca
RU PASADOIRO	Rúa Pasadoiro
RU PENALADA	Rúa Penalada
RU PENIÑAS	Rúa Peniñas
RU PEQUENA	Rúa Pequena
RU DO PEXIGO DE ABAIXO	Rúa Pexigo de Abaixo
RU PEXIGO ARRIBA	Rúa Pexigo de Arriba
RU PICON	Rúa Picon
RU PINTOR SUCASAS	Rúa Pintor Sucasas
RU PONTE MARZAN	Rúa Ponte Marzan
RU PONTEVEDRA	Rúa Pontevedra
RU PTE GERARDO FDEZ ALBOR	Rúa Presidente Gerardo Fernández Albor
RU PTE SALVADOR ALLENDE	Rúa Presidente Salvador Allende
RU PRINCIPES	Rúa Principes
RU PROXECTO VAGALUME	Rúa Proxecto Vagalume
RU QUEIXUME PINOS	Rúa Queixume dos Pinos
RU RAIMUNDO GCIA RGUZ BOROBO	Rúa Raimundo García Rodríguez Borobo
RU RAIÑA LUPA	Rúa Raiña Lupa
RU REAL ROXOS	Rúa Real Roxos
RU RICARDO CARVALHO CALERO	Rúa Ricardo Carvalho Calero
RU ROBERTO VIDAL BODAÑO	Rúa Roberto Vidal Bodaño
RU ROCHEIRA	Rúa Rocheira
RU ROMAÑO	Rúa Romaño
RU RUELA PISON	Rúa Ruela Pison
RU RUELA RIAL	Rúa Ruela Rial
RU SAHAGUN	Rúa Sahagún
RU SALVADOR	Rúa Salvador
RU SAMOS	Rúa Samos
RU SAN CAETANO	Rúa San Caetano
RU SANTA COMBA	Rúa Santa Comba
RU SANTA LUCIA	Rúa Santa Lucia
RU SANTANDER	Rúa Santander
RU SANTIAGO CABALLEROS	Rúa Santiago Caballeros
RU SEITURA	Rúa Seitura
RU SEMPRE GALIZA	Rúa Sempre en Galiza
RU SERGUDE	Rúa Sergude
